p,ct,sa,sigma1,alpha_smooth,beta_smooth,turner_ang,density_ratio,mixed_layer_final_mask,mixed_layer_temp_mask,mixed_layer_sal_mask,mixed_layer_sigma_mask,mixed_layer_mask,gradient_layer_final_mask,mixed_layer_step1_mask,grad_layer_step2_mask,grad_layer_step3_mask,grad_layer_step4_mask,mixed_layer_salt_finger_mask,gradient_layer_salt_finger_mask,mixed_layer_diffusive_convective_mask,gradient_layer_diffusive_convective_mask
1621.0,13.003822,38.74001,33.501516027642765,0.00023181879169412934,0.0007288672948855096,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1622.0,13.003822,38.74001,33.501516027642765,0.00023183565353731805,0.0007288575863733091,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1623.0,13.003822,38.74001,33.501516027642765,0.000231852514678382,0.0007288478782818265,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1624.0,13.003822,38.74001,33.501516027642765,0.0002318693751172585,0.0007288381706110588,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1625.0,13.003822,38.74001,33.501516027642765,0.0002318862348538846,0.0007288284633610034,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1626.0,13.003822,38.74001,33.501516027642765,0.0002319030938881974,0.0007288187565316577,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1627.0,13.003822,38.74001,33.501516027642765,0.00023191995222013423,0.0007288090501230194,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1628.0,13.003822,38.74001,33.501516027642765,0.00023193680984963223,0.0007287993441350857,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1629.0,13.003822,38.74001,33.501516027642765,0.00023195366677662856,0.000728789638567854,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1630.0,13.003822,38.74001,33.501516027642765,0.00023197052300106055,0.0007287799334213217,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1631.0,13.003822,38.74001,33.501516027642765,0.00023198737852286535,0.0007287702286954863,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1632.0,13.003822,38.74001,33.501516027642765,0.00023200423334198035,0.0007287605243903449,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1633.0,13.003822,38.74001,33.501516027642765,0.0002320210874583428,0.0007287508205058953,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1634.0,13.003822,38.74001,33.501516027642765,0.00023203794087189002,0.0007287411170421349,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1635.0,13.003822,38.74001,33.501516027642765,0.00023205479358255935,0.0007287314139990609,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1636.0,13.003822,38.74001,33.501516027642765,0.00023207164559028813,0.0007287217113766709,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1637.0,13.003822,38.74001,33.501516027642765,0.00023208849689501377,0.0007287120091749621,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1638.0,13.003822,38.74001,33.501516027642765,0.00023210534749667364,0.0007287023073939322,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1639.0,13.003822,38.74001,33.501516027642765,0.00023212219739520516,0.0007286926060335784,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1640.0,13.003822,38.74001,33.501516027642765,0.0002321390465905458,0.0007286829050938984,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1641.0,13.003822,38.74001,33.501516027642765,0.0002321558950826329,0.0007286732045748892,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1642.0,13.003822,38.74001,33.501516027642765,0.0002321727428714041,0.0007286635044765487,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1643.0,13.003822,38.74001,33.501516027642765,0.00023218958995679676,0.0007286538047988742,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1644.0,13.003822,38.74001,33.501516027642765,0.0002322064363387484,0.0007286441055418631,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1645.0,13.003822,38.74001,33.501516027642765,0.0002322232820171966,0.0007286344067055125,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1646.0,13.003822,38.74001,33.501516027642765,0.00023224012699207895,0.0007286247082898203,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1647.0,13.003822,38.74001,33.501516027642765,0.00023225697126333288,0.0007286150102947841,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1648.0,13.003822,38.74001,33.501516027642765,0.00023227381483089613,0.0007286053127204007,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1649.0,13.003822,38.74001,33.501516027642765,0.0002322906576947062,0.000728595615566668,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1650.0,13.003822,38.74001,33.501516027642765,0.00023230749985470077,0.0007285859188335832,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1651.0,13.003822,38.74001,33.501516027642765,0.00023232434131081748,0.0007285762225211442,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1652.0,13.003822,38.74001,33.501516027642765,0.000232341182062994,0.000728566526629348,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1653.0,13.003822,38.74001,33.501516027642765,0.00023235802211116793,0.0007285568311581922,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1654.0,13.003822,38.74001,33.501516027642765,0.00023237486145527713,0.0007285471361076744,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1655.0,13.003822,38.74001,33.501516027642765,0.00023239170009525925,0.0007285374414777917,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1656.0,13.003822,38.74001,33.501516027642765,0.000232408538031052,0.0007285277472685419,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1657.0,13.003822,38.74001,33.501516027642765,0.00023242537526259316,0.0007285180534799225,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1658.0,13.003822,38.74001,33.501516027642765,0.00023244221178982054,0.0007285083601119307,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1659.0,13.003822,38.74001,33.501516027642765,0.00023245904761267193,0.0007284986671645641,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1660.0,13.003822,38.74001,33.501516027642765,0.00023247588273108514,0.0007284889746378201,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1661.0,13.003822,38.74001,33.501516027642765,0.000232492717144998,0.0007284792825316965,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1662.0,13.003822,38.74001,33.501516027642765,0.00023250955085434843,0.0007284695908461904,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1663.0,13.003822,38.74001,33.501516027642765,0.00023252638385907426,0.0007284598995812994,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1664.0,13.003822,38.74001,33.501516027642765,0.00023254321615911333,0.0007284502087370211,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1665.0,13.003822,38.74001,33.501516027642765,0.00023256004775440369,0.0007284405183133528,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1666.0,13.003822,38.74001,33.501516027642765,0.0002325768786448832,0.0007284308283102921,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1667.0,13.003822,38.74001,33.501516027642765,0.0002325937088304898,0.0007284211387278362,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1668.0,13.003822,38.74001,33.501516027642765,0.0002326105383111615,0.0007284114495659831,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1669.0,13.003822,38.74001,33.501516027642765,0.0002326273670868363,0.00072840176082473,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1670.0,13.003822,38.74001,33.501516027642765,0.0002326441951574522,0.0007283920725040742,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1671.0,13.003822,38.74001,33.501516027642765,0.0002326610225229472,0.0007283823846040136,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1672.0,13.003822,38.74001,33.501516027642765,0.00023267784918325944,0.0007283726971245454,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
1673.0,13.003822,38.74001,33.501516027642765,0.00023269467513832695,0.0007283630100656674,0.0,,False,False,False,False,False,True,False,True,True,True,False,True,True,True
